,gene_ids,feature_types,n_cells
GRCh38___EIF4G3,GRCh38___ENSG00000075151,Gene Expression,14049
GRCh38___ECE1,GRCh38___ENSG00000117298,Gene Expression,13995
GRCh38___AL031005.1,GRCh38___ENSG00000236936,Gene Expression,79
GRCh38___AL031728.1,GRCh38___ENSG00000231105,Gene Expression,229
GRCh38___NBPF3,GRCh38___ENSG00000142794,Gene Expression,2010
GRCh38___ALPL,GRCh38___ENSG00000162551,Gene Expression,44
GRCh38___RAP1GAP,GRCh38___ENSG00000076864,Gene Expression,8
GRCh38___USP48,GRCh38___ENSG00000090686,Gene Expression,19006
GRCh38___LDLRAD2,GRCh38___ENSG00000187942,Gene Expression,60
GRCh38___HSPG2,GRCh38___ENSG00000142798,Gene Expression,83
GRCh38___LINC01635,GRCh38___ENSG00000228397,Gene Expression,190
GRCh38___CDC42,GRCh38___ENSG00000070831,Gene Expression,70998
GRCh38___AL031281.2,GRCh38___ENSG00000271840,Gene Expression,58
GRCh38___ZBTB40,GRCh38___ENSG00000184677,Gene Expression,5958
GRCh38___EPHA8,GRCh38___ENSG00000070886,Gene Expression,7
GRCh38___C1QA,GRCh38___ENSG00000173372,Gene Expression,4506
GRCh38___C1QC,GRCh38___ENSG00000159189,Gene Expression,1079
GRCh38___C1QB,GRCh38___ENSG00000173369,Gene Expression,1760
GRCh38___EPHB2,GRCh38___ENSG00000133216,Gene Expression,544
GRCh38___TEX46,GRCh38___ENSG00000227868,Gene Expression,5
GRCh38___KDM1A,GRCh38___ENSG00000004487,Gene Expression,5954
GRCh38___LUZP1,GRCh38___ENSG00000169641,Gene Expression,10805
GRCh38___LINC01355,GRCh38___ENSG00000261326,Gene Expression,35
GRCh38___HNRNPR,GRCh38___ENSG00000125944,Gene Expression,45872
GRCh38___ZNF436,GRCh38___ENSG00000125945,Gene Expression,461
GRCh38___ZNF436-AS1,GRCh38___ENSG00000249087,Gene Expression,136
GRCh38___TCEA3,GRCh38___ENSG00000204219,Gene Expression,1457
GRCh38___ASAP3,GRCh38___ENSG00000088280,Gene Expression,74
GRCh38___E2F2,GRCh38___ENSG00000007968,Gene Expression,2761
GRCh38___ID3,GRCh38___ENSG00000117318,Gene Expression,3623
GRCh38___MDS2,GRCh38___ENSG00000197880,Gene Expression,315
GRCh38___RPL11,GRCh38___ENSG00000142676,Gene Expression,86149
GRCh38___ELOA,GRCh38___ENSG00000011007,Gene Expression,14393
GRCh38___ELOA-AS1,GRCh38___ENSG00000236810,Gene Expression,936
GRCh38___PITHD1,GRCh38___ENSG00000057757,Gene Expression,21489
GRCh38___LYPLA2,GRCh38___ENSG00000011009,Gene Expression,22508
GRCh38___GALE,GRCh38___ENSG00000117308,Gene Expression,3842
GRCh38___HMGCL,GRCh38___ENSG00000117305,Gene Expression,4209
GRCh38___FUCA1,GRCh38___ENSG00000179163,Gene Expression,5533
GRCh38___CNR2,GRCh38___ENSG00000188822,Gene Expression,1108
GRCh38___PNRC2,GRCh38___ENSG00000189266,Gene Expression,39756
GRCh38___SRSF10,GRCh38___ENSG00000188529,Gene Expression,58148
GRCh38___IL22RA1,GRCh38___ENSG00000142677,Gene Expression,12
GRCh38___IFNLR1,GRCh38___ENSG00000185436,Gene Expression,1505
GRCh38___STPG1,GRCh38___ENSG00000001460,Gene Expression,825
GRCh38___NIPAL3,GRCh38___ENSG00000001461,Gene Expression,8790
GRCh38___RCAN3,GRCh38___ENSG00000117602,Gene Expression,4920
GRCh38___AL445686.2,GRCh38___ENSG00000264443,Gene Expression,667
GRCh38___SRRM1,GRCh38___ENSG00000133226,Gene Expression,64919
GRCh38___CLIC4,GRCh38___ENSG00000169504,Gene Expression,3195
GRCh38___RUNX3,GRCh38___ENSG00000020633,Gene Expression,40795
GRCh38___AL445471.1,GRCh38___ENSG00000229162,Gene Expression,50
GRCh38___AL445471.2,GRCh38___ENSG00000261025,Gene Expression,3
GRCh38___AL050344.1,GRCh38___ENSG00000233755,Gene Expression,9
GRCh38___AL031432.1,GRCh38___ENSG00000231953,Gene Expression,12
GRCh38___SYF2,GRCh38___ENSG00000117614,Gene Expression,50132
GRCh38___AL031432.5,GRCh38___ENSG00000284657,Gene Expression,92
GRCh38___RSRP1,GRCh38___ENSG00000117616,Gene Expression,55162
GRCh38___AL031432.3,GRCh38___ENSG00000272432,Gene Expression,73
GRCh38___RHD,GRCh38___ENSG00000187010,Gene Expression,31
GRCh38___TMEM50A,GRCh38___ENSG00000183726,Gene Expression,53907
GRCh38___RHCE,GRCh38___ENSG00000188672,Gene Expression,62
GRCh38___MACO1,GRCh38___ENSG00000204178,Gene Expression,8200
GRCh38___LDLRAP1,GRCh38___ENSG00000157978,Gene Expression,7132
GRCh38___AL606491.1,GRCh38___ENSG00000225643,Gene Expression,33
GRCh38___MAN1C1,GRCh38___ENSG00000117643,Gene Expression,419
GRCh38___AL031280.1,GRCh38___ENSG00000233478,Gene Expression,12
GRCh38___SELENON,GRCh38___ENSG00000162430,Gene Expression,2665
GRCh38___AL020996.1,GRCh38___ENSG00000228172,Gene Expression,353
GRCh38___MTFR1L,GRCh38___ENSG00000117640,Gene Expression,7601
GRCh38___AUNIP,GRCh38___ENSG00000127423,Gene Expression,513
GRCh38___AL033528.2,GRCh38___ENSG00000236528,Gene Expression,366
GRCh38___PAQR7,GRCh38___ENSG00000182749,Gene Expression,227
GRCh38___STMN1,GRCh38___ENSG00000117632,Gene Expression,16206
GRCh38___PAFAH2,GRCh38___ENSG00000158006,Gene Expression,4504
GRCh38___EXTL1,GRCh38___ENSG00000158008,Gene Expression,17
GRCh38___PDIK1L,GRCh38___ENSG00000175087,Gene Expression,2418
GRCh38___FAM110D,GRCh38___ENSG00000197245,Gene Expression,3
GRCh38___AL391650.1,GRCh38___ENSG00000236782,Gene Expression,80
GRCh38___ZNF593,GRCh38___ENSG00000142684,Gene Expression,15894
GRCh38___CNKSR1,GRCh38___ENSG00000142675,Gene Expression,127
GRCh38___CEP85,GRCh38___ENSG00000130695,Gene Expression,2979
