,gene_ids,feature_types,n_cells
GRCh38___SAP30L-AS1,GRCh38___ENSG00000245275,Gene Expression,466
GRCh38___SAP30L,GRCh38___ENSG00000164576,Gene Expression,2300
GRCh38___LARP1,GRCh38___ENSG00000155506,Gene Expression,13685
GRCh38___FAXDC2,GRCh38___ENSG00000170271,Gene Expression,978
GRCh38___CNOT8,GRCh38___ENSG00000155508,Gene Expression,25184
GRCh38___GEMIN5,GRCh38___ENSG00000082516,Gene Expression,2235
GRCh38___MRPL22,GRCh38___ENSG00000082515,Gene Expression,21537
GRCh38___KIF4B,GRCh38___ENSG00000226650,Gene Expression,5
GRCh38___SGCD,GRCh38___ENSG00000170624,Gene Expression,377
GRCh38___PPP1R2B,GRCh38___ENSG00000231989,Gene Expression,14
GRCh38___TIMD4,GRCh38___ENSG00000145850,Gene Expression,968
GRCh38___HAVCR1,GRCh38___ENSG00000113249,Gene Expression,67
GRCh38___HAVCR2,GRCh38___ENSG00000135077,Gene Expression,12677
GRCh38___MED7,GRCh38___ENSG00000155868,Gene Expression,4929
GRCh38___ITK,GRCh38___ENSG00000113263,Gene Expression,27817
GRCh38___AC010609.1,GRCh38___ENSG00000253980,Gene Expression,7
GRCh38___AC009185.1,GRCh38___ENSG00000253653,Gene Expression,76
GRCh38___CYFIP2,GRCh38___ENSG00000055163,Gene Expression,33401
GRCh38___FNDC9,GRCh38___ENSG00000172568,Gene Expression,21
GRCh38___AC008676.1,GRCh38___ENSG00000248544,Gene Expression,43
GRCh38___ADAM19,GRCh38___ENSG00000135074,Gene Expression,4352
GRCh38___NIPAL4,GRCh38___ENSG00000172548,Gene Expression,413
GRCh38___AC106801.1,GRCh38___ENSG00000253519,Gene Expression,37
GRCh38___SOX30,GRCh38___ENSG00000039600,Gene Expression,31
GRCh38___THG1L,GRCh38___ENSG00000113272,Gene Expression,5552
GRCh38___LSM11,GRCh38___ENSG00000155858,Gene Expression,310
GRCh38___CLINT1,GRCh38___ENSG00000113282,Gene Expression,28351
GRCh38___LINC02227,GRCh38___ENSG00000276778,Gene Expression,22
GRCh38___EBF1,GRCh38___ENSG00000164330,Gene Expression,1262
GRCh38___LINC02202,GRCh38___ENSG00000245812,Gene Expression,252
GRCh38___RNF145,GRCh38___ENSG00000145860,Gene Expression,12416
GRCh38___UBLCP1,GRCh38___ENSG00000164332,Gene Expression,17786
GRCh38___AC008691.1,GRCh38___ENSG00000249738,Gene Expression,229
GRCh38___IL12B,GRCh38___ENSG00000113302,Gene Expression,8
GRCh38___TTC1,GRCh38___ENSG00000113312,Gene Expression,16702
GRCh38___PWWP2A,GRCh38___ENSG00000170234,Gene Expression,4765
GRCh38___CCNJL,GRCh38___ENSG00000135083,Gene Expression,103
GRCh38___ZBED8,GRCh38___ENSG00000221886,Gene Expression,37
GRCh38___SLU7,GRCh38___ENSG00000164609,Gene Expression,27455
GRCh38___PTTG1,GRCh38___ENSG00000164611,Gene Expression,14032
GRCh38___MIR3142HG,GRCh38___ENSG00000253522,Gene Expression,521
GRCh38___GABRG2,GRCh38___ENSG00000113327,Gene Expression,3
GRCh38___AC113414.1,GRCh38___ENSG00000254186,Gene Expression,32
GRCh38___CCNG1,GRCh38___ENSG00000113328,Gene Expression,17939
GRCh38___NUDCD2,GRCh38___ENSG00000170584,Gene Expression,15592
GRCh38___HMMR,GRCh38___ENSG00000072571,Gene Expression,2330
GRCh38___MAT2B,GRCh38___ENSG00000038274,Gene Expression,29034
GRCh38___AC008637.1,GRCh38___ENSG00000253978,Gene Expression,19
GRCh38___WWC1,GRCh38___ENSG00000113645,Gene Expression,34
GRCh38___RARS,GRCh38___ENSG00000113643,Gene Expression,11528
GRCh38___PANK3,GRCh38___ENSG00000120137,Gene Expression,4964
GRCh38___SLIT3,GRCh38___ENSG00000184347,Gene Expression,5
GRCh38___SPDL1,GRCh38___ENSG00000040275,Gene Expression,2374
GRCh38___DOCK2,GRCh38___ENSG00000134516,Gene Expression,31943
GRCh38___FAM196B,GRCh38___ENSG00000204767,Gene Expression,15
GRCh38___FOXI1,GRCh38___ENSG00000168269,Gene Expression,9
GRCh38___LINC01187,GRCh38___ENSG00000249601,Gene Expression,16
GRCh38___C5orf58,GRCh38___ENSG00000234511,Gene Expression,10
GRCh38___LCP2,GRCh38___ENSG00000043462,Gene Expression,45466
GRCh38___AC034199.1,GRCh38___ENSG00000250274,Gene Expression,292
GRCh38___LINC01366,GRCh38___ENSG00000235172,Gene Expression,170
GRCh38___KCNIP1,GRCh38___ENSG00000182132,Gene Expression,6
GRCh38___KCNMB1,GRCh38___ENSG00000145936,Gene Expression,2980
GRCh38___RANBP17,GRCh38___ENSG00000204764,Gene Expression,110
GRCh38___NPM1,GRCh38___ENSG00000181163,Gene Expression,73932
GRCh38___FGF18,GRCh38___ENSG00000156427,Gene Expression,27
GRCh38___FBXW11,GRCh38___ENSG00000072803,Gene Expression,14363
GRCh38___STK10,GRCh38___ENSG00000072786,Gene Expression,39842
GRCh38___EFCAB9,GRCh38___ENSG00000214360,Gene Expression,4
GRCh38___UBTD2,GRCh38___ENSG00000168246,Gene Expression,455
GRCh38___SH3PXD2B,GRCh38___ENSG00000174705,Gene Expression,365
GRCh38___NEURL1B,GRCh38___ENSG00000214357,Gene Expression,37
GRCh38___AC022217.3,GRCh38___ENSG00000253736,Gene Expression,38
GRCh38___DUSP1,GRCh38___ENSG00000120129,Gene Expression,73785
GRCh38___ERGIC1,GRCh38___ENSG00000113719,Gene Expression,12435
GRCh38___AC008429.1,GRCh38___ENSG00000204758,Gene Expression,44
GRCh38___AC008429.3,GRCh38___ENSG00000254295,Gene Expression,13
GRCh38___RPL26L1,GRCh38___ENSG00000037241,Gene Expression,13475
GRCh38___ATP6V0E1,GRCh38___ENSG00000113732,Gene Expression,54279
GRCh38___CREBRF,GRCh38___ENSG00000164463,Gene Expression,26239
GRCh38___AC008378.1,GRCh38___ENSG00000253172,Gene Expression,12
GRCh38___BNIP1,GRCh38___ENSG00000113734,Gene Expression,10737
GRCh38___NKX2-5,GRCh38___ENSG00000183072,Gene Expression,4
GRCh38___BOD1,GRCh38___ENSG00000145919,Gene Expression,1367
GRCh38___LINC01484,GRCh38___ENSG00000253686,Gene Expression,6
GRCh38___CPEB4,GRCh38___ENSG00000113742,Gene Expression,8666
GRCh38___C5orf47,GRCh38___ENSG00000185056,Gene Expression,9
GRCh38___MSX2,GRCh38___ENSG00000120149,Gene Expression,4
GRCh38___SFXN1,GRCh38___ENSG00000164466,Gene Expression,22488
GRCh38___HRH2,GRCh38___ENSG00000113749,Gene Expression,10586
GRCh38___THOC3,GRCh38___ENSG00000051596,Gene Expression,13482
GRCh38___FAM153B,GRCh38___ENSG00000182230,Gene Expression,12
GRCh38___AC139491.7,GRCh38___ENSG00000285476,Gene Expression,28
GRCh38___SIMC1,GRCh38___ENSG00000170085,Gene Expression,2731
GRCh38___KIAA1191,GRCh38___ENSG00000122203,Gene Expression,12380
GRCh38___AC138956.1,GRCh38___ENSG00000250909,Gene Expression,4
GRCh38___AC138956.2,GRCh38___ENSG00000251414,Gene Expression,4
GRCh38___ARL10,GRCh38___ENSG00000175414,Gene Expression,563
GRCh38___NOP16,GRCh38___ENSG00000048162,Gene Expression,8806
GRCh38___HIGD2A,GRCh38___ENSG00000146066,Gene Expression,63751
GRCh38___CLTB,GRCh38___ENSG00000175416,Gene Expression,12753
GRCh38___FAF2,GRCh38___ENSG00000113194,Gene Expression,11895
GRCh38___RNF44,GRCh38___ENSG00000146083,Gene Expression,16572
GRCh38___CDHR2,GRCh38___ENSG00000074276,Gene Expression,63
GRCh38___GPRIN1,GRCh38___ENSG00000169258,Gene Expression,161
GRCh38___SNCB,GRCh38___ENSG00000074317,Gene Expression,37
GRCh38___EIF4E1B,GRCh38___ENSG00000175766,Gene Expression,5
GRCh38___TSPAN17,GRCh38___ENSG00000048140,Gene Expression,8068
GRCh38___HK3,GRCh38___ENSG00000160883,Gene Expression,10302
GRCh38___UIMC1,GRCh38___ENSG00000087206,Gene Expression,14782
GRCh38___ZNF346,GRCh38___ENSG00000113761,Gene Expression,2946
GRCh38___FGFR4,GRCh38___ENSG00000160867,Gene Expression,41
GRCh38___NSD1,GRCh38___ENSG00000165671,Gene Expression,27329
GRCh38___RAB24,GRCh38___ENSG00000169228,Gene Expression,31540
GRCh38___MXD3,GRCh38___ENSG00000213347,Gene Expression,4930
GRCh38___PRELID1,GRCh38___ENSG00000169230,Gene Expression,51905
GRCh38___LMAN2,GRCh38___ENSG00000169223,Gene Expression,39764
GRCh38___RGS14,GRCh38___ENSG00000169220,Gene Expression,14881
GRCh38___SLC34A1,GRCh38___ENSG00000131183,Gene Expression,25
GRCh38___F12,GRCh38___ENSG00000131187,Gene Expression,684
GRCh38___GRK6,GRCh38___ENSG00000198055,Gene Expression,12439
GRCh38___PRR7-AS1,GRCh38___ENSG00000246334,Gene Expression,30
GRCh38___PRR7,GRCh38___ENSG00000131188,Gene Expression,5679
GRCh38___DBN1,GRCh38___ENSG00000113758,Gene Expression,1320
GRCh38___PDLIM7,GRCh38___ENSG00000196923,Gene Expression,8452
GRCh38___AC145098.1,GRCh38___ENSG00000248996,Gene Expression,8
GRCh38___DOK3,GRCh38___ENSG00000146094,Gene Expression,8339
GRCh38___DDX41,GRCh38___ENSG00000183258,Gene Expression,12659
GRCh38___FAM193B,GRCh38___ENSG00000146067,Gene Expression,5991
GRCh38___AC139795.3,GRCh38___ENSG00000272459,Gene Expression,12
GRCh38___TMED9,GRCh38___ENSG00000184840,Gene Expression,40728
GRCh38___B4GALT7,GRCh38___ENSG00000027847,Gene Expression,4538
GRCh38___AC139795.2,GRCh38___ENSG00000247679,Gene Expression,127
GRCh38___FAM153A,GRCh38___ENSG00000170074,Gene Expression,85
GRCh38___AC106795.3,GRCh38___ENSG00000250101,Gene Expression,69
GRCh38___AC106795.2,GRCh38___ENSG00000249684,Gene Expression,76
GRCh38___FAM153C,GRCh38___ENSG00000204677,Gene Expression,15
GRCh38___N4BP3,GRCh38___ENSG00000145911,Gene Expression,1307
GRCh38___RMND5B,GRCh38___ENSG00000145916,Gene Expression,3918
GRCh38___NHP2,GRCh38___ENSG00000145912,Gene Expression,32805
GRCh38___HNRNPAB,GRCh38___ENSG00000197451,Gene Expression,16157
GRCh38___PHYKPL,GRCh38___ENSG00000175309,Gene Expression,20984
GRCh38___COL23A1,GRCh38___ENSG00000050767,Gene Expression,43
GRCh38___CLK4,GRCh38___ENSG00000113240,Gene Expression,12841
GRCh38___ZNF354A,GRCh38___ENSG00000169131,Gene Expression,3027
GRCh38___ZNF354B,GRCh38___ENSG00000178338,Gene Expression,1786
GRCh38___ZFP2,GRCh38___ENSG00000198939,Gene Expression,23
GRCh38___ZNF879,GRCh38___ENSG00000234284,Gene Expression,568
GRCh38___ZNF354C,GRCh38___ENSG00000177932,Gene Expression,938
GRCh38___ADAMTS2,GRCh38___ENSG00000087116,Gene Expression,25
GRCh38___RUFY1,GRCh38___ENSG00000176783,Gene Expression,6054
GRCh38___AC136604.2,GRCh38___ENSG00000244945,Gene Expression,23
GRCh38___HNRNPH1,GRCh38___ENSG00000169045,Gene Expression,38175
GRCh38___AC136604.3,GRCh38___ENSG00000250999,Gene Expression,121
GRCh38___CBY3,GRCh38___ENSG00000204659,Gene Expression,27
GRCh38___CANX,GRCh38___ENSG00000127022,Gene Expression,42446
GRCh38___MAML1,GRCh38___ENSG00000161021,Gene Expression,4365
GRCh38___LTC4S,GRCh38___ENSG00000213316,Gene Expression,426
GRCh38___MGAT4B,GRCh38___ENSG00000161013,Gene Expression,1639
GRCh38___SQSTM1,GRCh38___ENSG00000161011,Gene Expression,44318
GRCh38___MRNIP,GRCh38___ENSG00000161010,Gene Expression,3324
GRCh38___AC008393.1,GRCh38___ENSG00000245317,Gene Expression,126
GRCh38___TBC1D9B,GRCh38___ENSG00000197226,Gene Expression,10871
GRCh38___RNF130,GRCh38___ENSG00000113269,Gene Expression,19563
GRCh38___RASGEF1C,GRCh38___ENSG00000146090,Gene Expression,3
GRCh38___MAPK9,GRCh38___ENSG00000050748,Gene Expression,3355
GRCh38___AC008610.1,GRCh38___ENSG00000248367,Gene Expression,123
GRCh38___GFPT2,GRCh38___ENSG00000131459,Gene Expression,681
GRCh38___CNOT6,GRCh38___ENSG00000113300,Gene Expression,2729
GRCh38___SCGB3A1,GRCh38___ENSG00000161055,Gene Expression,621
GRCh38___FLT4,GRCh38___ENSG00000037280,Gene Expression,81
GRCh38___MGAT1,GRCh38___ENSG00000131446,Gene Expression,25590
GRCh38___LINC00847,GRCh38___ENSG00000245060,Gene Expression,4224
GRCh38___ZFP62,GRCh38___ENSG00000196670,Gene Expression,2128
GRCh38___BTNL8,GRCh38___ENSG00000113303,Gene Expression,16
GRCh38___BTNL9,GRCh38___ENSG00000165810,Gene Expression,6
GRCh38___LINC01962,GRCh38___ENSG00000248473,Gene Expression,24
GRCh38___AC008443.5,GRCh38___ENSG00000250222,Gene Expression,282
GRCh38___TRIM7,GRCh38___ENSG00000146054,Gene Expression,696
GRCh38___AC008443.6,GRCh38___ENSG00000250900,Gene Expression,12
GRCh38___TRIM41,GRCh38___ENSG00000146063,Gene Expression,8110
GRCh38___AC008443.2,GRCh38___ENSG00000247049,Gene Expression,8
GRCh38___RACK1,GRCh38___ENSG00000204628,Gene Expression,83506
GRCh38___TRIM52,GRCh38___ENSG00000183718,Gene Expression,6909
GRCh38___AC138035.1,GRCh38___ENSG00000238035,Gene Expression,351
GRCh38___AC138035.2,GRCh38___ENSG00000250765,Gene Expression,9
GRCh38___AL035696.3,GRCh38___ENSG00000263667,Gene Expression,6
GRCh38___DUSP22,GRCh38___ENSG00000112679,Gene Expression,10408
GRCh38___IRF4,GRCh38___ENSG00000137265,Gene Expression,10158
GRCh38___EXOC2,GRCh38___ENSG00000112685,Gene Expression,9824
GRCh38___AL031770.1,GRCh38___ENSG00000230433,Gene Expression,3
GRCh38___HUS1B,GRCh38___ENSG00000188996,Gene Expression,175
GRCh38___AL357054.4,GRCh38___ENSG00000272463,Gene Expression,1013
GRCh38___AL357054.2,GRCh38___ENSG00000271727,Gene Expression,99
GRCh38___AL357054.3,GRCh38___ENSG00000271911,Gene Expression,3
GRCh38___FOXQ1,GRCh38___ENSG00000164379,Gene Expression,4
GRCh38___AL512329.2,GRCh38___ENSG00000272279,Gene Expression,8
GRCh38___FOXC1,GRCh38___ENSG00000054598,Gene Expression,35
GRCh38___GMDS,GRCh38___ENSG00000112699,Gene Expression,12136
GRCh38___GMDS-DT,GRCh38___ENSG00000250903,Gene Expression,6218
GRCh38___MYLK4,GRCh38___ENSG00000145949,Gene Expression,75
GRCh38___WRNIP1,GRCh38___ENSG00000124535,Gene Expression,3535
GRCh38___SERPINB1,GRCh38___ENSG00000021355,Gene Expression,44636
GRCh38___SERPINB9P1,GRCh38___ENSG00000230438,Gene Expression,804
GRCh38___SERPINB9,GRCh38___ENSG00000170542,Gene Expression,25770
GRCh38___SERPINB6,GRCh38___ENSG00000124570,Gene Expression,11747
GRCh38___LINC01011,GRCh38___ENSG00000244041,Gene Expression,730
GRCh38___NQO2,GRCh38___ENSG00000124588,Gene Expression,13945
GRCh38___AL133351.1,GRCh38___ENSG00000224846,Gene Expression,75
GRCh38___RIPK1,GRCh38___ENSG00000137275,Gene Expression,7563
GRCh38___AL031963.3,GRCh38___ENSG00000272277,Gene Expression,2421
GRCh38___BPHL,GRCh38___ENSG00000137274,Gene Expression,1429
GRCh38___AL031963.1,GRCh38___ENSG00000228170,Gene Expression,5
GRCh38___TUBB2A,GRCh38___ENSG00000137267,Gene Expression,8508
GRCh38___TUBB2B,GRCh38___ENSG00000137285,Gene Expression,47
GRCh38___PSMG4,GRCh38___ENSG00000180822,Gene Expression,15211
GRCh38___SLC22A23,GRCh38___ENSG00000137266,Gene Expression,51
GRCh38___PXDC1,GRCh38___ENSG00000168994,Gene Expression,91
GRCh38___AL391422.3,GRCh38___ENSG00000270504,Gene Expression,12
GRCh38___FAM50B,GRCh38___ENSG00000145945,Gene Expression,1968
GRCh38___AL138831.2,GRCh38___ENSG00000272248,Gene Expression,19
GRCh38___AL138831.1,GRCh38___ENSG00000230648,Gene Expression,157
GRCh38___PRPF4B,GRCh38___ENSG00000112739,Gene Expression,48556
GRCh38___C6orf201,GRCh38___ENSG00000185689,Gene Expression,17
GRCh38___ECI2,GRCh38___ENSG00000198721,Gene Expression,7862
GRCh38___AL136309.4,GRCh38___ENSG00000254821,Gene Expression,11
GRCh38___AL136309.2,GRCh38___ENSG00000234817,Gene Expression,23
GRCh38___AL162718.1,GRCh38___ENSG00000285424,Gene Expression,26
GRCh38___CDYL,GRCh38___ENSG00000153046,Gene Expression,3738
GRCh38___RPP40,GRCh38___ENSG00000124787,Gene Expression,1298
GRCh38___AL359643.3,GRCh38___ENSG00000272142,Gene Expression,48
GRCh38___AL359643.2,GRCh38___ENSG00000271978,Gene Expression,4
GRCh38___PPP1R3G,GRCh38___ENSG00000219607,Gene Expression,137
GRCh38___LYRM4,GRCh38___ENSG00000214113,Gene Expression,9427
GRCh38___FARS2,GRCh38___ENSG00000145982,Gene Expression,8915
GRCh38___AL136307.1,GRCh38___ENSG00000233064,Gene Expression,11
GRCh38___NRN1,GRCh38___ENSG00000124785,Gene Expression,122
GRCh38___F13A1,GRCh38___ENSG00000124491,Gene Expression,2252
GRCh38___LY86-AS1,GRCh38___ENSG00000216863,Gene Expression,29
GRCh38___LY86,GRCh38___ENSG00000112799,Gene Expression,13968
GRCh38___AL031123.2,GRCh38___ENSG00000261211,Gene Expression,13
GRCh38___AL031123.1,GRCh38___ENSG00000226281,Gene Expression,33
GRCh38___AL136361.1,GRCh38___ENSG00000224532,Gene Expression,8
GRCh38___AL158817.1,GRCh38___ENSG00000223342,Gene Expression,4
GRCh38___RREB1,GRCh38___ENSG00000124782,Gene Expression,7268
GRCh38___SSR1,GRCh38___ENSG00000124783,Gene Expression,25125
GRCh38___AL139095.4,GRCh38___ENSG00000238221,Gene Expression,18
GRCh38___CAGE1,GRCh38___ENSG00000164304,Gene Expression,382
GRCh38___RIOK1,GRCh38___ENSG00000124784,Gene Expression,14647
GRCh38___DSP,GRCh38___ENSG00000096696,Gene Expression,194
GRCh38___SNRNP48,GRCh38___ENSG00000168566,Gene Expression,6868
GRCh38___BMP6,GRCh38___ENSG00000153162,Gene Expression,141
GRCh38___TXNDC5,GRCh38___ENSG00000239264,Gene Expression,332
GRCh38___BLOC1S5,GRCh38___ENSG00000188428,Gene Expression,4550
GRCh38___EEF1E1,GRCh38___ENSG00000124802,Gene Expression,14339
GRCh38___SLC35B3,GRCh38___ENSG00000124786,Gene Expression,6358
GRCh38___TFAP2A,GRCh38___ENSG00000137203,Gene Expression,71
GRCh38___AL138885.3,GRCh38___ENSG00000285278,Gene Expression,24
GRCh38___TFAP2A-AS1,GRCh38___ENSG00000229950,Gene Expression,51
GRCh38___GCNT2,GRCh38___ENSG00000111846,Gene Expression,1958
GRCh38___AL139039.3,GRCh38___ENSG00000237685,Gene Expression,3
GRCh38___C6orf52,GRCh38___ENSG00000137434,Gene Expression,310
GRCh38___PAK1IP1,GRCh38___ENSG00000111845,Gene Expression,7302
GRCh38___TMEM14C,GRCh38___ENSG00000111843,Gene Expression,18350
GRCh38___AL024498.1,GRCh38___ENSG00000272097,Gene Expression,66
GRCh38___TMEM14B,GRCh38___ENSG00000137210,Gene Expression,32128
GRCh38___MAK,GRCh38___ENSG00000111837,Gene Expression,611
GRCh38___AL357497.1,GRCh38___ENSG00000235051,Gene Expression,5
GRCh38___SYCP2L,GRCh38___ENSG00000153157,Gene Expression,150
GRCh38___SMIM13,GRCh38___ENSG00000224531,Gene Expression,3472
GRCh38___ERVFRD-1,GRCh38___ENSG00000244476,Gene Expression,23
GRCh38___AL139807.1,GRCh38___ENSG00000247925,Gene Expression,4
GRCh38___NEDD9,GRCh38___ENSG00000111859,Gene Expression,23434
GRCh38___TMEM170B,GRCh38___ENSG00000205269,Gene Expression,4700
GRCh38___ADTRP,GRCh38___ENSG00000111863,Gene Expression,493
GRCh38___AL157373.2,GRCh38___ENSG00000229896,Gene Expression,135
GRCh38___HIVEP1,GRCh38___ENSG00000095951,Gene Expression,6774
GRCh38___EDN1,GRCh38___ENSG00000078401,Gene Expression,327
GRCh38___PHACTR1,GRCh38___ENSG00000112137,Gene Expression,11045
GRCh38___AL008729.1,GRCh38___ENSG00000215022,Gene Expression,74
GRCh38___TBC1D7,GRCh38___ENSG00000145979,Gene Expression,9936
GRCh38___AL008729.2,GRCh38___ENSG00000272379,Gene Expression,120
GRCh38___GFOD1,GRCh38___ENSG00000145990,Gene Expression,3290
GRCh38___SIRT5,GRCh38___ENSG00000124523,Gene Expression,2729
GRCh38___AL441883.1,GRCh38___ENSG00000261071,Gene Expression,386
GRCh38___NOL7,GRCh38___ENSG00000225921,Gene Expression,40922
GRCh38___RANBP9,GRCh38___ENSG00000010017,Gene Expression,7569
GRCh38___MCUR1,GRCh38___ENSG00000050393,Gene Expression,11999
GRCh38___AL023583.1,GRCh38___ENSG00000272209,Gene Expression,3
GRCh38___RNF182,GRCh38___ENSG00000180537,Gene Expression,8
GRCh38___CD83,GRCh38___ENSG00000112149,Gene Expression,25171
GRCh38___LINC01108,GRCh38___ENSG00000226673,Gene Expression,4
GRCh38___AL109914.1,GRCh38___ENSG00000229646,Gene Expression,22
GRCh38___AL138720.1,GRCh38___ENSG00000234261,Gene Expression,28
GRCh38___AL136162.1,GRCh38___ENSG00000271888,Gene Expression,95
GRCh38___JARID2,GRCh38___ENSG00000008083,Gene Expression,17924
GRCh38___JARID2-AS1,GRCh38___ENSG00000235488,Gene Expression,234
GRCh38___DTNBP1,GRCh38___ENSG00000047579,Gene Expression,8187
GRCh38___MYLIP,GRCh38___ENSG00000007944,Gene Expression,17828
GRCh38___GMPR,GRCh38___ENSG00000137198,Gene Expression,1630
GRCh38___AL009031.1,GRCh38___ENSG00000282024,Gene Expression,13
GRCh38___ATXN1,GRCh38___ENSG00000124788,Gene Expression,20148
GRCh38___AL137003.1,GRCh38___ENSG00000229931,Gene Expression,1412
GRCh38___AL137003.2,GRCh38___ENSG00000272341,Gene Expression,230
GRCh38___FAM8A1,GRCh38___ENSG00000137414,Gene Expression,4147
GRCh38___NUP153,GRCh38___ENSG00000124789,Gene Expression,11381
GRCh38___AL138724.1,GRCh38___ENSG00000272269,Gene Expression,1624
GRCh38___KIF13A,GRCh38___ENSG00000137177,Gene Expression,1934
GRCh38___NHLRC1,GRCh38___ENSG00000187566,Gene Expression,182
GRCh38___TPMT,GRCh38___ENSG00000137364,Gene Expression,9320
GRCh38___KDM1B,GRCh38___ENSG00000165097,Gene Expression,7158
GRCh38___DEK,GRCh38___ENSG00000124795,Gene Expression,48822
GRCh38___RNF144B,GRCh38___ENSG00000137393,Gene Expression,10428
GRCh38___MIR548A1HG,GRCh38___ENSG00000283408,Gene Expression,3
GRCh38___MBOAT1,GRCh38___ENSG00000172197,Gene Expression,3344
GRCh38___AL158198.1,GRCh38___ENSG00000227803,Gene Expression,8
GRCh38___E2F3,GRCh38___ENSG00000112242,Gene Expression,10130
GRCh38___CDKAL1,GRCh38___ENSG00000145996,Gene Expression,7467
GRCh38___AL512380.2,GRCh38___ENSG00000283480,Gene Expression,3
GRCh38___SOX4,GRCh38___ENSG00000124766,Gene Expression,6858
GRCh38___CASC15,GRCh38___ENSG00000272168,Gene Expression,81
GRCh38___PRL,GRCh38___ENSG00000172179,Gene Expression,15
GRCh38___DCDC2,GRCh38___ENSG00000146038,Gene Expression,3
GRCh38___MRS2,GRCh38___ENSG00000124532,Gene Expression,6136
GRCh38___GPLD1,GRCh38___ENSG00000112293,Gene Expression,50
GRCh38___ALDH5A1,GRCh38___ENSG00000112294,Gene Expression,1085
GRCh38___KIAA0319,GRCh38___ENSG00000137261,Gene Expression,18
GRCh38___TDP2,GRCh38___ENSG00000111802,Gene Expression,12392
GRCh38___ACOT13,GRCh38___ENSG00000112304,Gene Expression,6124
GRCh38___AL031775.1,GRCh38___ENSG00000272345,Gene Expression,175
GRCh38___C6orf62,GRCh38___ENSG00000112308,Gene Expression,20475
GRCh38___AL031775.2,GRCh38___ENSG00000272402,Gene Expression,16
GRCh38___AL133264.2,GRCh38___ENSG00000224164,Gene Expression,24
GRCh38___GMNN,GRCh38___ENSG00000112312,Gene Expression,8910
GRCh38___ARMH2,GRCh38___ENSG00000260286,Gene Expression,27
GRCh38___RIPOR2,GRCh38___ENSG00000111913,Gene Expression,50802
GRCh38___AL133268.2,GRCh38___ENSG00000223623,Gene Expression,7
GRCh38___CARMIL1,GRCh38___ENSG00000079691,Gene Expression,782
GRCh38___SLC17A1,GRCh38___ENSG00000124568,Gene Expression,3
GRCh38___SLC17A3,GRCh38___ENSG00000124564,Gene Expression,117
GRCh38___TRIM38,GRCh38___ENSG00000112343,Gene Expression,20813
GRCh38___U91328.2,GRCh38___ENSG00000272558,Gene Expression,65
GRCh38___U91328.1,GRCh38___ENSG00000272462,Gene Expression,597
GRCh38___U91328.3,GRCh38___ENSG00000272810,Gene Expression,3
GRCh38___HIST1H1A,GRCh38___ENSG00000124610,Gene Expression,677
GRCh38___HIST1H3A,GRCh38___ENSG00000275714,Gene Expression,3610
GRCh38___HIST1H4A,GRCh38___ENSG00000278637,Gene Expression,925
GRCh38___HIST1H4B,GRCh38___ENSG00000278705,Gene Expression,606
GRCh38___HIST1H3B,GRCh38___ENSG00000274267,Gene Expression,4466
GRCh38___HIST1H2AB,GRCh38___ENSG00000278463,Gene Expression,1712
