,feature_types
FAM135B,Gene Expression
AC087354.1,Gene Expression
KCNK9,Gene Expression
TRAPPC9,Gene Expression
AC107375.1,Gene Expression
CHRAC1,Gene Expression
AGO2,Gene Expression
ERICD,Gene Expression
PTK2,Gene Expression
DENND3,Gene Expression
AC040970.1,Gene Expression
SLC45A4,Gene Expression
AC011676.1,Gene Expression
AC011676.2,Gene Expression
AC011676.3,Gene Expression
AC011676.4,Gene Expression
LINC01300,Gene Expression
GPR20,Gene Expression
PTP4A3,Gene Expression
LINC00051,Gene Expression
TSNARE1,Gene Expression
AC134682.1,Gene Expression
ADGRB1,Gene Expression
ARC,Gene Expression
JRK,Gene Expression
PSCA,Gene Expression
LY6K,Gene Expression
THEM6,Gene Expression
AC108002.1,Gene Expression
SLURP1,Gene Expression
LYPD2,Gene Expression
SLURP2,Gene Expression
LYNX1,Gene Expression
LY6D,Gene Expression
AC083841.2,Gene Expression
GML,Gene Expression
CYP11B1,Gene Expression
LY6E-DT,Gene Expression
LY6E,Gene Expression
LY6H,Gene Expression
ZFP41,Gene Expression
GLI4,Gene Expression
MINCR,Gene Expression
ZNF696,Gene Expression
AC138696.2,Gene Expression
TOP1MT,Gene Expression
RHPN1-AS1,Gene Expression
RHPN1,Gene Expression
AC105118.1,Gene Expression
MAFA-AS1,Gene Expression
MAFA,Gene Expression
ZC3H3,Gene Expression
AC067930.3,Gene Expression
GSDMD,Gene Expression
MROH6,Gene Expression
AC067930.4,Gene Expression
NAPRT,Gene Expression
AC067930.1,Gene Expression
EEF1D,Gene Expression
TIGD5,Gene Expression
PYCR3,Gene Expression
AC067930.2,Gene Expression
ZNF623,Gene Expression
ZNF707,Gene Expression
MAPK15,Gene Expression
FAM83H,Gene Expression
IQANK1,Gene Expression
AC105219.3,Gene Expression
SCRIB,Gene Expression
PUF60,Gene Expression
NRBP2,Gene Expression
EPPK1,Gene Expression
PLEC,Gene Expression
PARP10,Gene Expression
GRINA,Gene Expression
SPATC1,Gene Expression
OPLAH,Gene Expression
AC109322.1,Gene Expression
EXOSC4,Gene Expression
GPAA1,Gene Expression
CYC1,Gene Expression
SHARPIN,Gene Expression
MAF1,Gene Expression
WDR97,Gene Expression
HGH1,Gene Expression
MROH1,Gene Expression
BOP1,Gene Expression
SCX,Gene Expression
HSF1,Gene Expression
DGAT1,Gene Expression
TMEM249,Gene Expression
SLC52A2,Gene Expression
FBXL6,Gene Expression
ADCK5,Gene Expression
CPSF1,Gene Expression
AC233992.3,Gene Expression
SLC39A4,Gene Expression
VPS28,Gene Expression
TONSL,Gene Expression
TONSL-AS1,Gene Expression
CYHR1,Gene Expression
AC084125.1,Gene Expression
KIFC2,Gene Expression
FOXH1,Gene Expression
PPP1R16A,Gene Expression
GPT,Gene Expression
MFSD3,Gene Expression
RECQL4,Gene Expression
AC084125.4,Gene Expression
LRRC14,Gene Expression
LRRC24,Gene Expression
C8orf82,Gene Expression
ARHGAP39,Gene Expression
AF186192.3,Gene Expression
ZNF251,Gene Expression
ZNF34,Gene Expression
RPL8,Gene Expression
ZNF517,Gene Expression
ZNF7,Gene Expression
COMMD5,Gene Expression
ZNF250,Gene Expression
ZNF16,Gene Expression
AF235103.1,Gene Expression
ZNF252P-AS1,Gene Expression
C8orf33,Gene Expression
WASHC1,Gene Expression
FAM138C,Gene Expression
PGM5P3-AS1,Gene Expression
AL449043.1,Gene Expression
LINC01388,Gene Expression
FOXD4,Gene Expression
CBWD1,Gene Expression
DOCK8,Gene Expression
AL158832.1,Gene Expression
AL161725.1,Gene Expression
KANK1,Gene Expression
AL136979.1,Gene Expression
DMRT1,Gene Expression
LINC01230,Gene Expression
DMRT2,Gene Expression
SMARCA2,Gene Expression
AL359076.1,Gene Expression
VLDLR-AS1,Gene Expression
VLDLR,Gene Expression
KCNV2,Gene Expression
PUM3,Gene Expression
LINC01231,Gene Expression
RFX3,Gene Expression
RFX3-AS1,Gene Expression
AL354977.2,Gene Expression
AL354977.1,Gene Expression
GLIS3,Gene Expression
GLIS3-AS1,Gene Expression
SLC1A1,Gene Expression
SPATA6L,Gene Expression
PLPP6,Gene Expression
CDC37L1-DT,Gene Expression
CDC37L1,Gene Expression
AK3,Gene Expression
RCL1,Gene Expression
JAK2,Gene Expression
IGHEP2,Gene Expression
INSL6,Gene Expression
INSL4,Gene Expression
RLN2,Gene Expression
RLN1,Gene Expression
AL135786.2,Gene Expression
PLGRKT,Gene Expression
CD274,Gene Expression
PDCD1LG2,Gene Expression
AL162253.1,Gene Expression
RIC1,Gene Expression
AL136980.1,Gene Expression
ERMP1,Gene Expression
KIAA2026,Gene Expression
MLANA,Gene Expression
RANBP6,Gene Expression
IL33,Gene Expression
UHRF2,Gene Expression
AL133480.1,Gene Expression
GLDC,Gene Expression
AL162411.1,Gene Expression
AL354707.1,Gene Expression
KDM4C,Gene Expression
AL354694.1,Gene Expression
DMAC1,Gene Expression
AL135923.1,Gene Expression
PTPRD,Gene Expression
PTPRD-AS1,Gene Expression
LURAP1L,Gene Expression
MPDZ,Gene Expression
LINC01235,Gene Expression
NFIB,Gene Expression
AL159169.3,Gene Expression
AL159169.2,Gene Expression
ZDHHC21,Gene Expression
CER1,Gene Expression
FREM1,Gene Expression
TTC39B,Gene Expression
SNAPC3,Gene Expression
PSIP1,Gene Expression
CCDC171,Gene Expression
BNC2,Gene Expression
CNTLN,Gene Expression
SH3GL2,Gene Expression
ADAMTSL1,Gene Expression
SAXO1,Gene Expression
RRAGA,Gene Expression
HAUS6,Gene Expression
PLIN2,Gene Expression
DENND4C,Gene Expression
AL161909.2,Gene Expression
AL391834.1,Gene Expression
AL391834.2,Gene Expression
RPS6,Gene Expression
ACER2,Gene Expression
SLC24A2,Gene Expression
AL591222.1,Gene Expression
MLLT3,Gene Expression
FOCAD,Gene Expression
FOCAD-AS1,Gene Expression
HACD4,Gene Expression
IFNB1,Gene Expression
IFNW1,Gene Expression
IFNA14,Gene Expression
IFNA5,Gene Expression
KLHL9,Gene Expression
IFNA2,Gene Expression
IFNA1,Gene Expression
IFNE,Gene Expression
MTAP,Gene Expression
AL359922.2,Gene Expression
CDKN2A-DT,Gene Expression
CDKN2A,Gene Expression
CDKN2B-AS1,Gene Expression
CDKN2B,Gene Expression
AL157937.1,Gene Expression
DMRTA1,Gene Expression
AL445623.2,Gene Expression
ELAVL2,Gene Expression
AL365204.2,Gene Expression
TUSC1,Gene Expression
CAAP1,Gene Expression
PLAA,Gene Expression
IFT74,Gene Expression
IFT74-AS1,Gene Expression
LRRC19,Gene Expression
AL355432.1,Gene Expression
TEK,Gene Expression
EQTN,Gene Expression
MOB3B,Gene Expression
AL163192.1,Gene Expression
IFNK,Gene Expression
C9orf72,Gene Expression
AL360014.1,Gene Expression
LINGO2,Gene Expression
LINC01242,Gene Expression
ACO1,Gene Expression
DDX58,Gene Expression
TOPORS,Gene Expression
SMIM27,Gene Expression
NDUFB6,Gene Expression
TAF1L,Gene Expression
AL589642.1,Gene Expression
AL157884.2,Gene Expression
APTX,Gene Expression
DNAJA1,Gene Expression
SMU1,Gene Expression
B4GALT1,Gene Expression
B4GALT1-AS1,Gene Expression
SPINK4,Gene Expression
BAG1,Gene Expression
CHMP5,Gene Expression
NFX1,Gene Expression
AQP7,Gene Expression
AQP3,Gene Expression
NOL6,Gene Expression
ANKRD18B,Gene Expression
CYP4F26P,Gene Expression
TRBV20OR9-2,Gene Expression
TRBV21OR9-2,Gene Expression
TRBV25OR9-2,Gene Expression
AL356489.2,Gene Expression
AL356489.1,Gene Expression
LINC01251,Gene Expression
PRSS3,Gene Expression
UBE2R2-AS1,Gene Expression
UBE2R2,Gene Expression
UBAP2,Gene Expression
AL354989.1,Gene Expression
DCAF12,Gene Expression
UBAP1,Gene Expression
KIF24,Gene Expression
NUDT2,Gene Expression
MYORG,Gene Expression
C9orf24,Gene Expression
FAM219A,Gene Expression
DNAI1,Gene Expression
ENHO,Gene Expression
AL160270.1,Gene Expression
CNTFR,Gene Expression
RPP25L,Gene Expression
DCTN3,Gene Expression
ARID3C,Gene Expression
SIGMAR1,Gene Expression
GALT,Gene Expression
IL11RA,Gene Expression
CCL27,Gene Expression
AL162231.1,Gene Expression
AL162231.2,Gene Expression
CCL19,Gene Expression
PHF24,Gene Expression
DNAJB5-DT,Gene Expression
DNAJB5,Gene Expression
C9orf131,Gene Expression
VCP,Gene Expression
FANCG,Gene Expression
PIGO,Gene Expression
AL353795.2,Gene Expression
STOML2,Gene Expression
FAM214B,Gene Expression
UNC13B,Gene Expression
RUSC2,Gene Expression
FAM166B,Gene Expression
TESK1,Gene Expression
CD72,Gene Expression
AL357874.2,Gene Expression
AL357874.1,Gene Expression
SIT1,Gene Expression
RMRP,Gene Expression
CCDC107,Gene Expression
ARHGEF39,Gene Expression
CA9,Gene Expression
TPM2,Gene Expression
TLN1,Gene Expression
CREB3,Gene Expression
GBA2,Gene Expression
RGP1,Gene Expression
MSMP,Gene Expression
AL133410.2,Gene Expression
AL133410.1,Gene Expression
NPR2,Gene Expression
SPAG8,Gene Expression
HINT2,Gene Expression
TMEM8B,Gene Expression
FAM221B,Gene Expression
SPAAR,Gene Expression
RECK,Gene Expression
GLIPR2,Gene Expression
CCIN,Gene Expression
CLTA,Gene Expression
GNE,Gene Expression
RNF38,Gene Expression
MELK,Gene Expression
PAX5,Gene Expression
AL512604.3,Gene Expression
EBLN3P,Gene Expression
AL512604.2,Gene Expression
ZCCHC7,Gene Expression
GRHPR,Gene Expression
ZBTB5,Gene Expression
POLR1E,Gene Expression
AL513165.1,Gene Expression
FBXO10,Gene Expression
TOMM5,Gene Expression
FRMPD1,Gene Expression
TRMT10B,Gene Expression
EXOSC3,Gene Expression
DCAF10,Gene Expression
SLC25A51,Gene Expression
SHB,Gene Expression
ALDH1B1,Gene Expression
IGFBPL1,Gene Expression
ANKRD18A,Gene Expression
FAM201A,Gene Expression
AL591543.1,Gene Expression
CNTNAP3,Gene Expression
BX005214.2,Gene Expression
GLIDR,Gene Expression
BMS1P14,Gene Expression
FP325318.1,Gene Expression
IGKV1OR9-2,Gene Expression
AL353626.1,Gene Expression
BX255923.1,Gene Expression
BX255923.2,Gene Expression
CBWD6,Gene Expression
CNTNAP3B,Gene Expression
AL445584.2,Gene Expression
BX088651.4,Gene Expression
BX088651.2,Gene Expression
AL590491.2,Gene Expression
BX005040.1,Gene Expression
AL935212.1,Gene Expression
AL391987.4,Gene Expression
AL391987.3,Gene Expression
AL590399.3,Gene Expression
AL590399.1,Gene Expression
AL590399.5,Gene Expression
LINC01189,Gene Expression
BX005266.2,Gene Expression
LINC01410,Gene Expression
AL512625.2,Gene Expression
AL512625.1,Gene Expression
CR786580.1,Gene Expression
IGKV1OR-2,Gene Expression
FOXD4L5,Gene Expression
CBWD5,Gene Expression
FOXD4L4,Gene Expression
IGKV1OR-3,Gene Expression
AL136317.2,Gene Expression
ZNF658,Gene Expression
AL353770.4,Gene Expression
ANKRD20A1,Gene Expression
AL353608.2,Gene Expression
CBWD3,Gene Expression
FOXD4L3,Gene Expression
AL353608.3,Gene Expression
PGM5,Gene Expression
PGM5-AS1,Gene Expression
AL161457.2,Gene Expression
TMEM252,Gene Expression
LINC01506,Gene Expression
PIP5K1B,Gene Expression
FAM122A,Gene Expression
AL354794.1,Gene Expression
FXN,Gene Expression
TJP2,Gene Expression
FAM189A2,Gene Expression
APBA1,Gene Expression
AL162412.1,Gene Expression
PTAR1,Gene Expression
C9orf135,Gene Expression
MAMDC2-AS1,Gene Expression
MAMDC2,Gene Expression
SMC5-AS1,Gene Expression
SMC5,Gene Expression
KLF9,Gene Expression
TRPM3,Gene Expression
CEMIP2,Gene Expression
ABHD17B,Gene Expression
C9orf85,Gene Expression
C9orf57,Gene Expression
GDA,Gene Expression
LINC01504,Gene Expression
ZFAND5,Gene Expression
TMC1,Gene Expression
LINC01474,Gene Expression
ALDH1A1,Gene Expression
ANXA1,Gene Expression
RORB-AS1,Gene Expression
RORB,Gene Expression
TRPM6,Gene Expression
C9orf40,Gene Expression
CARNMT1,Gene Expression
NMRK1,Gene Expression
OSTF1,Gene Expression
PCSK5,Gene Expression
RFK,Gene Expression
GCNT1,Gene Expression
PRUNE2,Gene Expression
PCA3,Gene Expression
VPS13A-AS1,Gene Expression
VPS13A,Gene Expression
GNA14,Gene Expression
GNAQ,Gene Expression
CEP78,Gene Expression
PSAT1,Gene Expression
TLE4,Gene Expression
AL161912.2,Gene Expression
AL161782.1,Gene Expression
LINC01507,Gene Expression
TLE1,Gene Expression
AL591368.1,Gene Expression
AL162726.4,Gene Expression
RASEF,Gene Expression
AL137847.1,Gene Expression
FRMD3,Gene Expression
AL137847.2,Gene Expression
IDNK,Gene Expression
UBQLN1,Gene Expression
AL354920.1,Gene Expression
GKAP1,Gene Expression
AL354733.1,Gene Expression
AL354733.2,Gene Expression
KIF27,Gene Expression
C9orf64,Gene Expression
HNRNPK,Gene Expression
AL354733.3,Gene Expression
RMI1,Gene Expression
AL390838.1,Gene Expression
SLC28A3,Gene Expression
NTRK2,Gene Expression
AGTPBP1,Gene Expression
AL353743.2,Gene Expression
NAA35,Gene Expression
GOLM1,Gene Expression
C9orf153,Gene Expression
ISCA1,Gene Expression
TUT7,Gene Expression
AL158828.1,Gene Expression
AL353613.1,Gene Expression
GAS1,Gene Expression
GAS1RR,Gene Expression
DAPK1,Gene Expression
CTSL,Gene Expression
CDK20,Gene Expression
SPIN1,Gene Expression
NXNL2,Gene Expression
S1PR3,Gene Expression
SHC3,Gene Expression
CKS2,Gene Expression
SECISBP2,Gene Expression
SEMA4D,Gene Expression
GADD45G,Gene Expression
BX470209.1,Gene Expression
AL161629.1,Gene Expression
MIR4290HG,Gene Expression
LINC01501,Gene Expression
DIRAS2,Gene Expression
SYK,Gene Expression
AL355607.1,Gene Expression
AL355607.2,Gene Expression
LINC00484,Gene Expression
AL158071.3,Gene Expression
AL158071.4,Gene Expression
AUH,Gene Expression
NFIL3,Gene Expression
AL353764.1,Gene Expression
ROR2,Gene Expression
SPTLC1,Gene Expression
NOL8,Gene Expression
CENPP,Gene Expression
OGN,Gene Expression
OMD,Gene Expression
ASPN,Gene Expression
ECM2,Gene Expression
IPPK,Gene Expression
BICD2,Gene Expression
ZNF484,Gene Expression
FGD3,Gene Expression
SUSD3,Gene Expression
AL451065.1,Gene Expression
CARD19,Gene Expression
NINJ1,Gene Expression
AL390760.1,Gene Expression
WNK2,Gene Expression
C9orf129,Gene Expression
FAM120AOS,Gene Expression
FAM120A,Gene Expression
PHF2,Gene Expression
BARX1,Gene Expression
BARX1-DT,Gene Expression
PTPDC1,Gene Expression
ZNF169,Gene Expression
AL691447.2,Gene Expression
MFSD14B,Gene Expression
PCAT7,Gene Expression
FBP2,Gene Expression
FBP1,Gene Expression
AL353768.1,Gene Expression
FANCC,Gene Expression
AL354893.2,Gene Expression
AL161729.3,Gene Expression
PTCH1,Gene Expression
AL161729.2,Gene Expression
AL161729.1,Gene Expression
AL161729.4,Gene Expression
LINC00476,Gene Expression
AL354861.3,Gene Expression
ERCC6L2,Gene Expression
LINC00092,Gene Expression
HSD17B3,Gene Expression
AL160269.1,Gene Expression
SLC35D2,Gene Expression
ZNF367,Gene Expression
HABP4,Gene Expression
CDC14B,Gene Expression
AL589843.1,Gene Expression
ZNF510,Gene Expression
ZNF782,Gene Expression
MFSD14C,Gene Expression
NUTM2G,Gene Expression
CTSV,Gene Expression
AL590705.3,Gene Expression
AL590705.1,Gene Expression
CCDC180,Gene Expression
TDRD7,Gene Expression
TMOD1,Gene Expression
TSTD2,Gene Expression
NCBP1,Gene Expression
AL162385.2,Gene Expression
XPA,Gene Expression
PTCSC2,Gene Expression
FOXE1,Gene Expression
TRMO,Gene Expression
HEMGN,Gene Expression
ANP32B,Gene Expression
AL354726.1,Gene Expression
NANS,Gene Expression
TRIM14,Gene Expression
CORO2A,Gene Expression
TBC1D2,Gene Expression
GABBR2,Gene Expression
ANKS6,Gene Expression
GALNT12,Gene Expression
COL15A1,Gene Expression
AL136084.2,Gene Expression
TGFBR1,Gene Expression
AL162427.1,Gene Expression
ALG2,Gene Expression
SEC61B,Gene Expression
AL359710.1,Gene Expression
NR4A3,Gene Expression
STX17-AS1,Gene Expression
STX17,Gene Expression
AL358937.1,Gene Expression
ERP44,Gene Expression
INVS,Gene Expression
TEX10,Gene Expression
MSANTD3,Gene Expression
TMEFF1,Gene Expression
CAVIN4,Gene Expression
BAAT,Gene Expression
MRPL50,Gene Expression
ZNF189,Gene Expression
ALDOB,Gene Expression
TMEM246-AS1,Gene Expression
RNF20,Gene Expression
GRIN3A,Gene Expression
PPP3R2,Gene Expression
LINC01492,Gene Expression
SMC2-AS1,Gene Expression
SMC2,Gene Expression
OR13C3,Gene Expression
OR13C5,Gene Expression
OR13D1,Gene Expression
NIPSNAP3A,Gene Expression
NIPSNAP3B,Gene Expression
ABCA1,Gene Expression
AL359182.1,Gene Expression
SLC44A1,Gene Expression
FSD1L,Gene Expression
AL158070.1,Gene Expression
FKTN,Gene Expression
TAL2,Gene Expression
TMEM38B,Gene Expression
LINC01505,Gene Expression
ZNF462,Gene Expression
RAD23B,Gene Expression
LINC01509,Gene Expression
KLF4,Gene Expression
AL358779.1,Gene Expression
ACTL7B,Gene Expression
ELP1,Gene Expression
CTNNAL1,Gene Expression
TMEM245,Gene Expression
FRRS1L,Gene Expression
EPB41L4B,Gene Expression
PTPN3,Gene Expression
C9orf152,Gene Expression
TXN,Gene Expression
TXNDC8,Gene Expression
SVEP1,Gene Expression
AL592463.1,Gene Expression
MUSK,Gene Expression
LPAR1,Gene Expression
AL162414.1,Gene Expression
ECPAS,Gene Expression
ZNF483,Gene Expression
PTGR1,Gene Expression
DNAJC25,Gene Expression
GNG10,Gene Expression
UGCG,Gene Expression
SUSD1,Gene Expression
PTBP3,Gene Expression
HSDL2,Gene Expression
C9orf147,Gene Expression
KIAA1958,Gene Expression
INIP,Gene Expression
AL390067.1,Gene Expression
SNX30,Gene Expression
SLC46A2,Gene Expression
AL139041.1,Gene Expression
ZFP37,Gene Expression
FAM225B,Gene Expression
FAM225A,Gene Expression
SLC31A2,Gene Expression
FKBP15,Gene Expression
SLC31A1,Gene Expression
CDC26,Gene Expression
PRPF4,Gene Expression
RNF183,Gene Expression
WDR31,Gene Expression
BSPRY,Gene Expression
HDHD3,Gene Expression
ALAD,Gene Expression
POLE3,Gene Expression
C9orf43,Gene Expression
RGS3,Gene Expression
AL162727.2,Gene Expression
AL162727.1,Gene Expression
ZNF618,Gene Expression
AMBP,Gene Expression
COL27A1,Gene Expression
ORM1,Gene Expression
ORM2,Gene Expression
AKNA,Gene Expression
AL138895.1,Gene Expression
WHRN,Gene Expression
ATP6V1G1,Gene Expression
TMEM268,Gene Expression
TEX48,Gene Expression
TNFSF15,Gene Expression
TNFSF8,Gene Expression
TNC,Gene Expression
PAPPA,Gene Expression
PAPPA-AS1,Gene Expression
ASTN2,Gene Expression
ASTN2-AS1,Gene Expression
AL133284.1,Gene Expression
TRIM32,Gene Expression
TLR4,Gene Expression
AL160272.1,Gene Expression
CDK5RAP2,Gene Expression
MEGF9,Gene Expression
FBXW2,Gene Expression
B3GNT10,Gene Expression
PSMD5,Gene Expression
PHF19,Gene Expression
TRAF1,Gene Expression
C5,Gene Expression
CNTRL,Gene Expression
RAB14,Gene Expression
GSN,Gene Expression
AL513122.2,Gene Expression
GSN-AS1,Gene Expression
STOM,Gene Expression
AL359644.1,Gene Expression
DAB2IP,Gene Expression
TTLL11,Gene Expression
TTLL11-IT1,Gene Expression
NDUFA8,Gene Expression
MORN5,Gene Expression
LHX6,Gene Expression
RBM18,Gene Expression
MRRF,Gene Expression
PTGS1,Gene Expression
AL359636.1,Gene Expression
OR1J2,Gene Expression
OR1J4,Gene Expression
OR1N2,Gene Expression
OR1L8,Gene Expression
AL359636.2,Gene Expression
OR1Q1,Gene Expression
OR1L6,Gene Expression
PDCL,Gene Expression
OR1K1,Gene Expression
RC3H2,Gene Expression
ZBTB6,Gene Expression
ZBTB26,Gene Expression
RABGAP1,Gene Expression
GPR21,Gene Expression
STRBP,Gene Expression
CRB2,Gene Expression
DENND1A,Gene Expression
AL445489.1,Gene Expression
AL390774.2,Gene Expression
LHX2,Gene Expression
NEK6,Gene Expression
AL162724.2,Gene Expression
PSMB7,Gene Expression
ADGRD2,Gene Expression
NR5A1,Gene Expression
NR6A1,Gene Expression
MIR181A2HG,Gene Expression
AL354928.1,Gene Expression
OLFML2A,Gene Expression
WDR38,Gene Expression
RPL35,Gene Expression
ARPC5L,Gene Expression
GOLGA1,Gene Expression
SCAI,Gene Expression
PPP6C,Gene Expression
RABEPK,Gene Expression
HSPA5,Gene Expression
AL354710.2,Gene Expression
GAPVD1,Gene Expression
MAPKAP1,Gene Expression
PBX3,Gene Expression
MVB12B,Gene Expression
AL356309.2,Gene Expression
LMX1B,Gene Expression
ZBTB43,Gene Expression
ZBTB34,Gene Expression
RALGPS1,Gene Expression
ANGPTL2,Gene Expression
AL450263.1,Gene Expression
GARNL3,Gene Expression
SLC2A8,Gene Expression
ZNF79,Gene Expression
RPL12,Gene Expression
LRSAM1,Gene Expression
STXBP1,Gene Expression
AL162426.1,Gene Expression
PTRH1,Gene Expression
CFAP157,Gene Expression
TTC16,Gene Expression
TOR2A,Gene Expression
SH2D3C,Gene Expression
CDK9,Gene Expression
FPGS,Gene Expression
ENG,Gene Expression
AL162586.1,Gene Expression
AK1,Gene Expression
ST6GALNAC6,Gene Expression
ST6GALNAC4,Gene Expression
PIP5KL1,Gene Expression
AL157935.1,Gene Expression
DPM2,Gene Expression
FAM102A,Gene Expression
AL360268.2,Gene Expression
NAIF1,Gene Expression
SLC25A25,Gene Expression
AL360268.1,Gene Expression
SLC25A25-AS1,Gene Expression
PTGES2,Gene Expression
LCN2,Gene Expression
C9orf16,Gene Expression
CIZ1,Gene Expression
DNM1,Gene Expression
GOLGA2,Gene Expression
SWI5,Gene Expression
TRUB2,Gene Expression
AL359091.3,Gene Expression
COQ4,Gene Expression
SLC27A4,Gene Expression
URM1,Gene Expression
CERCAM,Gene Expression
ODF2,Gene Expression
ODF2-AS1,Gene Expression
GLE1,Gene Expression
AL356481.1,Gene Expression
SPTAN1,Gene Expression
AL356481.3,Gene Expression
HMGA1P4,Gene Expression
SET,Gene Expression
PKN3,Gene Expression
ZDHHC12,Gene Expression
AL441992.1,Gene Expression
ZER1,Gene Expression
TBC1D13,Gene Expression
ENDOG,Gene Expression
SPOUT1,Gene Expression
