,P1 Base,P1 Prog,P1 Conv,P2 Base,P2 Prog,P2 Conv,P3 Base,P3 Prog,P3 Conv,P4 Base,P4 Prog,P4 Conv,P5 Base,P5 Prog,P5 Conv
T_clonotype152,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0
T_clonotype141,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0
T_clonotype145,0,0,0,0,0,0,0,10,11,0,0,0,0,0,0
T_clonotype135,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0
T_clonotype147,0,0,0,0,0,0,0,0,0,2,15,3,0,0,0
T_clonotype136,12,2,6,0,0,0,0,0,0,0,0,0,0,0,0
T_clonotype138,0,0,0,0,0,0,0,0,0,0,14,6,0,0,0
T_clonotype148,8,2,9,0,0,0,0,0,0,0,0,0,0,0,0
T_clonotype158,0,0,0,1,10,8,0,0,0,0,0,0,0,0,0
T_clonotype150,0,18,1,0,0,0,0,0,0,0,0,0,0,0,0
T_clonotype157,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0
T_clonotype160,0,0,0,0,13,6,0,0,0,0,0,0,0,0,0
T_clonotype169,0,0,0,0,14,4,0,0,0,0,0,0,0,0,0
T_clonotype162,0,0,0,1,10,7,0,0,0,0,0,0,0,0,0
T_clonotype131,6,6,4,2,0,0,0,0,0,0,0,0,0,0,0
T_clonotype181,0,0,0,0,0,0,0,13,5,0,0,0,0,0,0
T_clonotype151,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0
T_clonotype176,0,0,0,0,11,6,0,0,0,0,0,0,0,0,0
T_clonotype167,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0
T_clonotype163,0,0,0,2,12,3,0,0,0,0,0,0,0,0,0
T_clonotype186,0,1,16,0,0,0,0,0,0,0,0,0,0,0,0
T_clonotype193,0,0,0,1,9,7,0,0,0,0,0,0,0,0,0
T_clonotype170,0,0,0,0,0,1,1,8,7,0,0,0,0,0,0
